Right Shoulder Angle:	294	 Right Elbow Angle:	165	Base Rotation Angle:	95	Left Shoulder Elbow167
Right Shoulder Angle:	294	 Right Elbow Angle:	165	Base Rotation Angle:	102	Left Shoulder Elbow168
Right Shoulder Angle:	295	 Right Elbow Angle:	164	Base Rotation Angle:	109	Left Shoulder Elbow178
Right Shoulder Angle:	295	 Right Elbow Angle:	163	Base Rotation Angle:	118	Left Shoulder Elbow178
Right Shoulder Angle:	295	 Right Elbow Angle:	168	Base Rotation Angle:	129	Left Shoulder Elbow176
Right Shoulder Angle:	297	 Right Elbow Angle:	166	Base Rotation Angle:	138	Left Shoulder Elbow176
Right Shoulder Angle:	297	 Right Elbow Angle:	167	Base Rotation Angle:	145	Left Shoulder Elbow177
Right Shoulder Angle:	295	 Right Elbow Angle:	169	Base Rotation Angle:	154	Left Shoulder Elbow176
Right Shoulder Angle:	296	 Right Elbow Angle:	169	Base Rotation Angle:	159	Left Shoulder Elbow179
Right Shoulder Angle:	296	 Right Elbow Angle:	168	Base Rotation Angle:	161	Left Shoulder Elbow178
Right Shoulder Angle:	296	 Right Elbow Angle:	168	Base Rotation Angle:	162	Left Shoulder Elbow177
Right Shoulder Angle:	296	 Right Elbow Angle:	152	Base Rotation Angle:	161	Left Shoulder Elbow177
Right Shoulder Angle:	321	 Right Elbow Angle:	122	Base Rotation Angle:	159	Left Shoulder Elbow176
Right Shoulder Angle:	332	 Right Elbow Angle:	85	Base Rotation Angle:	160	Left Shoulder Elbow176
Right Shoulder Angle:	345	 Right Elbow Angle:	54	Base Rotation Angle:	159	Left Shoulder Elbow179
Right Shoulder Angle:	344	 Right Elbow Angle:	43	Base Rotation Angle:	160	Left Shoulder Elbow177
Right Shoulder Angle:	349	 Right Elbow Angle:	37	Base Rotation Angle:	160	Left Shoulder Elbow177
Right Shoulder Angle:	353	 Right Elbow Angle:	30	Base Rotation Angle:	160	Left Shoulder Elbow178
Right Shoulder Angle:	356	 Right Elbow Angle:	26	Base Rotation Angle:	161	Left Shoulder Elbow179
Right Shoulder Angle:	357	 Right Elbow Angle:	22	Base Rotation Angle:	160	Left Shoulder Elbow178
Right Shoulder Angle:	357	 Right Elbow Angle:	16	Base Rotation Angle:	160	Left Shoulder Elbow178
Right Shoulder Angle:	358	 Right Elbow Angle:	10	Base Rotation Angle:	160	Left Shoulder Elbow178
Right Shoulder Angle:	357	 Right Elbow Angle:	12	Base Rotation Angle:	160	Left Shoulder Elbow179
Right Shoulder Angle:	356	 Right Elbow Angle:	10	Base Rotation Angle:	160	Left Shoulder Elbow177
Right Shoulder Angle:	357	 Right Elbow Angle:	10	Base Rotation Angle:	160	Left Shoulder Elbow176
Right Shoulder Angle:	366	 Right Elbow Angle:	7	Base Rotation Angle:	160	Left Shoulder Elbow175
Right Shoulder Angle:	375	 Right Elbow Angle:	6	Base Rotation Angle:	160	Left Shoulder Elbow173
Right Shoulder Angle:	383	 Right Elbow Angle:	6	Base Rotation Angle:	159	Left Shoulder Elbow172
Right Shoulder Angle:	387	 Right Elbow Angle:	8	Base Rotation Angle:	159	Left Shoulder Elbow170
Right Shoulder Angle:	388	 Right Elbow Angle:	15	Base Rotation Angle:	159	Left Shoulder Elbow169
Right Shoulder Angle:	391	 Right Elbow Angle:	17	Base Rotation Angle:	159	Left Shoulder Elbow170
Right Shoulder Angle:	392	 Right Elbow Angle:	20	Base Rotation Angle:	159	Left Shoulder Elbow170
Right Shoulder Angle:	391	 Right Elbow Angle:	21	Base Rotation Angle:	159	Left Shoulder Elbow169
Right Shoulder Angle:	391	 Right Elbow Angle:	22	Base Rotation Angle:	160	Left Shoulder Elbow171
Right Shoulder Angle:	389	 Right Elbow Angle:	17	Base Rotation Angle:	160	Left Shoulder Elbow170
Right Shoulder Angle:	384	 Right Elbow Angle:	22	Base Rotation Angle:	160	Left Shoulder Elbow171
Right Shoulder Angle:	363	 Right Elbow Angle:	53	Base Rotation Angle:	160	Left Shoulder Elbow172
Right Shoulder Angle:	358	 Right Elbow Angle:	59	Base Rotation Angle:	159	Left Shoulder Elbow171
Right Shoulder Angle:	331	 Right Elbow Angle:	85	Base Rotation Angle:	159	Left Shoulder Elbow172
Right Shoulder Angle:	320	 Right Elbow Angle:	96	Base Rotation Angle:	159	Left Shoulder Elbow170
Right Shoulder Angle:	315	 Right Elbow Angle:	105	Base Rotation Angle:	161	Left Shoulder Elbow174
Right Shoulder Angle:	306	 Right Elbow Angle:	114	Base Rotation Angle:	159	Left Shoulder Elbow172
Right Shoulder Angle:	299	 Right Elbow Angle:	128	Base Rotation Angle:	159	Left Shoulder Elbow171
Right Shoulder Angle:	299	 Right Elbow Angle:	146	Base Rotation Angle:	160	Left Shoulder Elbow173
Right Shoulder Angle:	300	 Right Elbow Angle:	170	Base Rotation Angle:	159	Left Shoulder Elbow172
Right Shoulder Angle:	298	 Right Elbow Angle:	159	Base Rotation Angle:	160	Left Shoulder Elbow173
Right Shoulder Angle:	295	 Right Elbow Angle:	170	Base Rotation Angle:	155	Left Shoulder Elbow170
Right Shoulder Angle:	296	 Right Elbow Angle:	172	Base Rotation Angle:	153	Left Shoulder Elbow173
Right Shoulder Angle:	297	 Right Elbow Angle:	106	Base Rotation Angle:	132	Left Shoulder Elbow166
Right Shoulder Angle:	295	 Right Elbow Angle:	175	Base Rotation Angle:	110	Left Shoulder Elbow166
Right Shoulder Angle:	297	 Right Elbow Angle:	161	Base Rotation Angle:	101	Left Shoulder Elbow163
Right Shoulder Angle:	298	 Right Elbow Angle:	159	Base Rotation Angle:	85	Left Shoulder Elbow153
Right Shoulder Angle:	298	 Right Elbow Angle:	162	Base Rotation Angle:	82	Left Shoulder Elbow142
Right Shoulder Angle:	299	 Right Elbow Angle:	164	Base Rotation Angle:	78	Left Shoulder Elbow138
Right Shoulder Angle:	298	 Right Elbow Angle:	164	Base Rotation Angle:	77	Left Shoulder Elbow140
Right Shoulder Angle:	298	 Right Elbow Angle:	166	Base Rotation Angle:	80	Left Shoulder Elbow146
Right Shoulder Angle:	298	 Right Elbow Angle:	170	Base Rotation Angle:	88	Left Shoulder Elbow165
Right Shoulder Angle:	298	 Right Elbow Angle:	165	Base Rotation Angle:	104	Left Shoulder Elbow161
Right Shoulder Angle:	299	 Right Elbow Angle:	170	Base Rotation Angle:	124	Left Shoulder Elbow158
Right Shoulder Angle:	299	 Right Elbow Angle:	170	Base Rotation Angle:	132	Left Shoulder Elbow172
Right Shoulder Angle:	300	 Right Elbow Angle:	170	Base Rotation Angle:	137	Left Shoulder Elbow173
Right Shoulder Angle:	300	 Right Elbow Angle:	170	Base Rotation Angle:	149	Left Shoulder Elbow174
Right Shoulder Angle:	299	 Right Elbow Angle:	171	Base Rotation Angle:	152	Left Shoulder Elbow178
Right Shoulder Angle:	299	 Right Elbow Angle:	173	Base Rotation Angle:	156	Left Shoulder Elbow177
Right Shoulder Angle:	298	 Right Elbow Angle:	172	Base Rotation Angle:	160	Left Shoulder Elbow168
Right Shoulder Angle:	298	 Right Elbow Angle:	172	Base Rotation Angle:	161	Left Shoulder Elbow125
Right Shoulder Angle:	298	 Right Elbow Angle:	172	Base Rotation Angle:	155	Left Shoulder Elbow67
Right Shoulder Angle:	299	 Right Elbow Angle:	169	Base Rotation Angle:	149	Left Shoulder Elbow44
Right Shoulder Angle:	299	 Right Elbow Angle:	171	Base Rotation Angle:	147	Left Shoulder Elbow33
Right Shoulder Angle:	297	 Right Elbow Angle:	170	Base Rotation Angle:	142	Left Shoulder Elbow24
Right Shoulder Angle:	297	 Right Elbow Angle:	173	Base Rotation Angle:	138	Left Shoulder Elbow22
Right Shoulder Angle:	298	 Right Elbow Angle:	172	Base Rotation Angle:	135	Left Shoulder Elbow17
Right Shoulder Angle:	298	 Right Elbow Angle:	173	Base Rotation Angle:	139	Left Shoulder Elbow24
Right Shoulder Angle:	320	 Right Elbow Angle:	174	Base Rotation Angle:	149	Left Shoulder Elbow20
Right Shoulder Angle:	314	 Right Elbow Angle:	169	Base Rotation Angle:	138	Left Shoulder Elbow21
Right Shoulder Angle:	309	 Right Elbow Angle:	172	Base Rotation Angle:	136	Left Shoulder Elbow22
Right Shoulder Angle:	297	 Right Elbow Angle:	164	Base Rotation Angle:	137	Left Shoulder Elbow24
Right Shoulder Angle:	300	 Right Elbow Angle:	171	Base Rotation Angle:	137	Left Shoulder Elbow44
Right Shoulder Angle:	300	 Right Elbow Angle:	176	Base Rotation Angle:	130	Left Shoulder Elbow66
Right Shoulder Angle:	300	 Right Elbow Angle:	175	Base Rotation Angle:	123	Left Shoulder Elbow93
Right Shoulder Angle:	300	 Right Elbow Angle:	108	Base Rotation Angle:	120	Left Shoulder Elbow108
Right Shoulder Angle:	300	 Right Elbow Angle:	162	Base Rotation Angle:	102	Left Shoulder Elbow126
Right Shoulder Angle:	299	 Right Elbow Angle:	165	Base Rotation Angle:	103	Left Shoulder Elbow137
Right Shoulder Angle:	300	 Right Elbow Angle:	171	Base Rotation Angle:	101	Left Shoulder Elbow139
Right Shoulder Angle:	299	 Right Elbow Angle:	169	Base Rotation Angle:	105	Left Shoulder Elbow124
Right Shoulder Angle:	300	 Right Elbow Angle:	168	Base Rotation Angle:	128	Left Shoulder Elbow86
Right Shoulder Angle:	300	 Right Elbow Angle:	167	Base Rotation Angle:	126	Left Shoulder Elbow64
Right Shoulder Angle:	299	 Right Elbow Angle:	167	Base Rotation Angle:	127	Left Shoulder Elbow49
Right Shoulder Angle:	299	 Right Elbow Angle:	168	Base Rotation Angle:	134	Left Shoulder Elbow41
Right Shoulder Angle:	299	 Right Elbow Angle:	166	Base Rotation Angle:	137	Left Shoulder Elbow41
Right Shoulder Angle:	299	 Right Elbow Angle:	167	Base Rotation Angle:	133	Left Shoulder Elbow30
Right Shoulder Angle:	299	 Right Elbow Angle:	171	Base Rotation Angle:	133	Left Shoulder Elbow28
Right Shoulder Angle:	299	 Right Elbow Angle:	168	Base Rotation Angle:	133	Left Shoulder Elbow29
Right Shoulder Angle:	300	 Right Elbow Angle:	175	Base Rotation Angle:	132	Left Shoulder Elbow26
Right Shoulder Angle:	300	 Right Elbow Angle:	171	Base Rotation Angle:	137	Left Shoulder Elbow28
Right Shoulder Angle:	300	 Right Elbow Angle:	171	Base Rotation Angle:	139	Left Shoulder Elbow23
Right Shoulder Angle:	299	 Right Elbow Angle:	175	Base Rotation Angle:	137	Left Shoulder Elbow25
Right Shoulder Angle:	299	 Right Elbow Angle:	174	Base Rotation Angle:	138	Left Shoulder Elbow30
Right Shoulder Angle:	298	 Right Elbow Angle:	174	Base Rotation Angle:	136	Left Shoulder Elbow27
Right Shoulder Angle:	298	 Right Elbow Angle:	174	Base Rotation Angle:	138	Left Shoulder Elbow30
Right Shoulder Angle:	298	 Right Elbow Angle:	177	Base Rotation Angle:	137	Left Shoulder Elbow27
Right Shoulder Angle:	298	 Right Elbow Angle:	166	Base Rotation Angle:	139	Left Shoulder Elbow26
Right Shoulder Angle:	298	 Right Elbow Angle:	175	Base Rotation Angle:	138	Left Shoulder Elbow23
Right Shoulder Angle:	298	 Right Elbow Angle:	174	Base Rotation Angle:	138	Left Shoulder Elbow29
Right Shoulder Angle:	298	 Right Elbow Angle:	173	Base Rotation Angle:	138	Left Shoulder Elbow26
Right Shoulder Angle:	299	 Right Elbow Angle:	174	Base Rotation Angle:	138	Left Shoulder Elbow23
Right Shoulder Angle:	299	 Right Elbow Angle:	175	Base Rotation Angle:	128	Left Shoulder Elbow49
Right Shoulder Angle:	299	 Right Elbow Angle:	101	Base Rotation Angle:	135	Left Shoulder Elbow55
Right Shoulder Angle:	300	 Right Elbow Angle:	144	Base Rotation Angle:	116	Left Shoulder Elbow73
Right Shoulder Angle:	300	 Right Elbow Angle:	177	Base Rotation Angle:	122	Left Shoulder Elbow81
Right Shoulder Angle:	300	 Right Elbow Angle:	171	Base Rotation Angle:	121	Left Shoulder Elbow89
Right Shoulder Angle:	301	 Right Elbow Angle:	173	Base Rotation Angle:	119	Left Shoulder Elbow102
Right Shoulder Angle:	300	 Right Elbow Angle:	168	Base Rotation Angle:	113	Left Shoulder Elbow112
Right Shoulder Angle:	300	 Right Elbow Angle:	171	Base Rotation Angle:	110	Left Shoulder Elbow120
Right Shoulder Angle:	302	 Right Elbow Angle:	171	Base Rotation Angle:	100	Left Shoulder Elbow135
Right Shoulder Angle:	301	 Right Elbow Angle:	171	Base Rotation Angle:	101	Left Shoulder Elbow138
Right Shoulder Angle:	300	 Right Elbow Angle:	171	Base Rotation Angle:	101	Left Shoulder Elbow144
Right Shoulder Angle:	299	 Right Elbow Angle:	173	Base Rotation Angle:	103	Left Shoulder Elbow146
Right Shoulder Angle:	299	 Right Elbow Angle:	163	Base Rotation Angle:	104	Left Shoulder Elbow145
Right Shoulder Angle:	300	 Right Elbow Angle:	175	Base Rotation Angle:	110	Left Shoulder Elbow141
Right Shoulder Angle:	300	 Right Elbow Angle:	171	Base Rotation Angle:	108	Left Shoulder Elbow143
Right Shoulder Angle:	300	 Right Elbow Angle:	169	Base Rotation Angle:	107	Left Shoulder Elbow143
Right Shoulder Angle:	301	 Right Elbow Angle:	168	Base Rotation Angle:	107	Left Shoulder Elbow143
Right Shoulder Angle:	301	 Right Elbow Angle:	167	Base Rotation Angle:	107	Left Shoulder Elbow143
Right Shoulder Angle:	302	 Right Elbow Angle:	168	Base Rotation Angle:	104	Left Shoulder Elbow142
Right Shoulder Angle:	303	 Right Elbow Angle:	167	Base Rotation Angle:	109	Left Shoulder Elbow138
Right Shoulder Angle:	300	 Right Elbow Angle:	168	Base Rotation Angle:	106	Left Shoulder Elbow139
Right Shoulder Angle:	301	 Right Elbow Angle:	164	Base Rotation Angle:	106	Left Shoulder Elbow138
